scenario_id,num_nurses,arrival_rate,sim_hours,num_patients,avg_utilization,utilization_std,missed_care_pct,missed_care_std,avg_wait_time,wait_time_std,avg_tasks_per_hour,tasks_per_hour_std
1130,9,15.2,15,224.9,78.8256136755359,3.084530171941484,13.348921890830152,2.894612173916684,5.678090650391434,3.0464836687126855,6.3459259259259255,0.21201366521685155
1131,12,19.5,14,273.9,77.05513658639745,4.427934363093546,15.001210120006558,1.8575195420222037,3.2952650349060457,1.7369918405627043,6.237499999999999,0.327872466529884
1132,3,1.1,15,16.8,20.84931328597971,5.213011662118162,0.0,0.0,0.2055137735351585,0.4203605725387788,1.6488888888888886,0.40317260341961253
1133,4,4.7,11,51.5,59.780897112269244,3.86469616085312,3.3960699452461007,2.0460075976469576,3.6916128351923176,4.31873537496477,4.795454545454546,0.34780896247820475
1134,5,3.1,11,34.6,33.397291335794094,4.24081103887146,0.3157894736842105,0.9473684210526315,0.47782938285625026,0.7036736237994043,2.6654545454545455,0.3113500328813321
1135,13,16.1,10,168.4,62.62967159951173,4.360825539875309,11.14654413876839,1.9470934401309252,0.6110386854446752,0.5332477406916921,5.046923076923077,0.35353581708859
1136,7,12.5,10,123.1,81.01189749153525,4.196061937952598,13.834953165125375,4.538698985914171,9.729759612138366,5.8169915457337,6.557142857142857,0.39398539287125645
1137,3,12.2,9,108.6,97.21809836219484,1.3754544161016207,30.300925988787167,3.9423410374044776,113.63592405843391,20.309381304457972,8.37037037037037,0.1375864860815307
1138,10,14.1,8,105.6,65.27988472378847,6.565683913771217,9.717513789831878,3.058824250235766,1.3216313472964802,1.5438625444225855,5.2387500000000005,0.5469932015116825
1139,14,11.6,9,104.8,39.69242270181072,5.150061728842767,8.513597532463967,2.0841973314806266,0.0009839183501242153,0.0023290391624737677,3.229365079365079,0.41706254813902494
1140,14,18.5,8,151.2,64.02247009922573,4.478836715258127,10.259168861862458,2.3907489416275225,0.501380834838942,0.4934405242838646,5.203571428571428,0.3540220793298933
1141,17,19.3,7,132.8,53.40918572789441,6.226969689960271,11.654551584892264,2.3595314394363944,0.030099674213058585,0.033958719899871426,4.321008403361345,0.49956976051929824
1142,15,10.0,10,103.1,34.198499108368125,3.349111533446547,8.484614777909067,2.981449741859243,0.0,0.0,2.744,0.2679004790340373
1143,15,2.6,11,29.3,9.64128347353088,1.4789316431978285,0.6173369952603888,0.8781222769750577,0.0,0.0,0.7721212121212122,0.11238135259635648
1144,19,8.2,10,78.7,20.644250085946982,1.6756089544882904,6.409076470210339,2.8847518557245344,0.0,0.0,1.654736842105263,0.14195313494521916
1145,9,11.2,9,98.7,58.472727040424466,4.774434847246505,8.115416952404315,3.3594871446640155,1.2841636050588232,1.3419178722329286,4.728395061728395,0.323871188696765
1146,6,6.0,9,51.4,48.105949794383505,8.890330305280804,4.079174409890903,3.21395222377484,0.983277664178545,1.4147084989006058,3.8592592592592596,0.7253115313837901
1147,10,11.0,15,173.4,57.163152221962584,3.429342710195153,9.357339796964055,1.9191866223274612,0.627488571188235,0.4859059413724326,4.586666666666666,0.25501198228928607
1148,7,13.2,13,172.3,85.92954244375032,3.7728563200271013,17.797965550503957,4.171828838748921,15.527993160214837,11.22380424526541,6.954945054945055,0.2670781854718444
1149,5,1.6,13,21.2,17.747964534781442,3.588039671746968,0.2272727272727273,0.681818181818182,0.0,0.0,1.4092307692307693,0.2829431121864038
1150,8,17.6,14,241.5,92.9751395360814,2.409016745768022,22.89174460000464,3.5338196727583635,23.499615213292923,8.534128672283796,7.516964285714286,0.19942719312356305
1151,3,13.0,12,161.5,98.30037184226384,0.9039736060824963,34.093286582653505,3.82825406416502,186.18304847415024,14.275838302473554,8.37777777777778,0.1699673171197597
1152,12,6.1,9,55.2,26.15315341572446,3.555293448419151,2.8418619060813772,2.8014196681530343,0.0,0.0,2.089814814814815,0.29148436395581667
1153,11,13.2,12,155.6,57.555772896825296,3.282230722278231,10.040564106684858,1.6930841884611194,0.6508280596265663,0.3723176378109588,4.660606060606061,0.26025346125556204
1154,9,12.7,11,151.3,72.88928966178025,3.0240154281291383,11.919067445110882,2.7662715551420636,2.0767061904942374,1.1380378197367516,5.908080808080808,0.23824041225455733
1155,16,14.6,8,118.2,45.152869788914224,3.9643887838403784,10.366496403645133,2.0895655087924063,0.004385126432752555,0.013155379298257667,3.6515625,0.320335365037565
1156,18,1.0,9,7.5,2.442323961281172,0.9940180044331791,0.0,0.0,0.0,0.0,0.19629629629629627,0.08322123232766773
1157,13,13.9,6,85.7,52.499433241487225,7.39096853769419,10.154345091929162,2.8195761648819464,0.33648595491808225,0.6871617515653677,4.226923076923077,0.5788585766903873
1158,18,6.0,10,64.8,18.413222633124764,2.0927488987746288,5.1483783413165085,2.9338786608608722,0.0,0.0,1.4705555555555554,0.16980471717625706
1159,10,18.1,6,108.0,81.34664039037213,6.689456102095368,13.909911712032677,2.118397067642487,3.912911599358291,1.6838947867640712,6.636666666666666,0.5229085324732552
1160,4,19.9,8,162.5,97.92832199752719,0.7281342801413553,32.414042037990875,3.7330779673650563,122.16398414445548,12.633077815624128,8.59375,0.2860698122836452
1161,10,1.7,11,19.6,9.747076176328356,1.731427276035819,1.0232638790875108,1.6200965142094486,0.0,0.0,0.7763636363636363,0.1381818181818182
1162,5,4.9,9,42.7,49.59618038572687,9.065713743199357,3.6276269899992757,3.0544748207427395,1.6093592566964676,1.658700383036255,3.9466666666666668,0.7039360240291203
1163,13,1.6,12,18.9,5.972872952592597,0.9588751758316134,0.14492753623188406,0.43478260869565216,0.0,0.0,0.48076923076923084,0.07425943824397221
1164,5,19.0,12,231.9,98.17294413098587,0.7226318924477944,31.704054539199934,1.8834353384368754,163.84140498697883,32.04322688128148,8.318333333333335,0.21710852381035392
1165,9,18.7,12,225.3,91.12928410250957,2.7029654633693303,19.19475423036701,3.1669933016575,21.48047751423137,9.854408508497484,7.391666666666666,0.19240776387519104
